sample,label,Q9HAN9,O60462,P10636,Q8N126,P39905,O95185,Q2TAL6,Q9Y336,Q08708,P15311,Q9H3U7,P41271,P52798,Q14108,O14594,Q2VWP7,Q9HCK4,O95727,Q96B86,Q9ULL4,P48052,P28907,P17405,P21757,P30533,Q92765,O15197,Q6NW40,Q9BZZ2,O94779,Q9P0K1,Q9P126,O75077,O15232,Q2MKA7,Q16775,Q9BS40,O00214,Q96GW7,Q6UX15,P08473,O14793,P04216,Q96NZ8,Q9H3S3,P22223,P56159,P15509,P01138,Q6ZMJ2,P41217,Q16620,P12544,P09919,Q8NBI3,Q96GP6,O60609,P15151,Q9NP84,P37023,O43155,P14384,Q8IUN9,P78333,P12644,Q96LA5,Q8NFP4,Q01344,P16234,P53634,P55285,Q08345,P57087,P25774,Q9NR71,Q02083,Q9BZM5,O43157,O75509,Q8TDQ1,Q08629,"P29460,P29459",Q9UBT3,Q9HAV5,O43561,Q16288,Q6ISS4,P55145,Q92752,Q8TD46,Q92823,Q16719,P10145,P15692,P01732,P80098,P39905,Q9H5V8,Q9BZW8,P13232,O00300,P01137,P00749,P05231,Q9P0M4,P13500,Q16552,O14625,O15169,P50591,Q9UHF4,Q07325,P28325,P14784,P01583,P13725,P60568,P09341,Q969D9,P13236,P30203,P21583,Q14116,Q13291,P01135,Q99616,P51671,O43557,Q9GZV9,Q13651,P12034,P03956,P42702,Q9NSA1,Q99731,Q13261,Q08334,Q8N6P7,Q13478,Q9NZQ7,P01138,P42830,O14788,P14210,P29460,Q13007,P35225,Q5T4W7,P09238,P22301,P01375,P55773,P06127,P10147,P49771,P80162,P02778,Q13541,Q9NYY1,Q8IXJ6,Q9NRJ3,Q8NFT8,P80511,P25942,O95760,P01579,O95750,P05112,P15018,Q99748,P80075,Q14790,O15444,P78423,Q07011,P20783,O43508,P78556,P50225,O95630,P05113,P00813,P01374,P09603
csf,1,3.268689053,2.067720855,3.120130751,1.788702172,0.263118278,0.447577418,0.306803751,1.19616376,1.528530978,1.962161677,2.768298933,1.571361526,1.316669077,1.083202254,2.564838779,1.075059393,1.452051297,0.027824202,2.981780375,1.872307233,0.536908069,1.9862802,0.523894543,2.254549101,2.991118325,1.447921166,0.875359104,2.322220644,1.102663843,1.328914978,1.641140279,1.38112863,0.400770264,2.341886934,0.12634831,1.326660263,0.968109456,2.692285849,2.554076957,2.86410775,0.233307278,0.28251063,3.102640908,-0.054679088,2.644081915,1.888409328,2.331847583,0.787759375,0.341036882,1.98206578,2.826430835,2.100256177,2.611736242,1.20821098,1.544714351,1.804241341,1.005211403,1.954160299,0.320012947,1.886398447,1.788521554,2.098826284,-0.00481648,2.51927789,0.134716944,0.195832053,1.21543871,0.425539012,1.56608146,1.304682063,0.302757908,1.998610388,3.196947585,1.525725379,-0.225531673,1.322442833,0.847212799,0.712932349,2.09718266,2.0146884,1.288977328,0.564371036,0.510649223,2.052630221,0.330973449,1.811026557,1.148883989,2.268745676,2.076164746,0.49726844,3.058762776,3.324966611,3.046896173,2.507787575,1.829329181,0.661582652,-0.002131292,2.564760512,0.360718223,-0.315109169,2.338575604,0.882472443,1.943672414,2.395804416,-0.453125401,3.588617712,-0.536179577,1.320215211,0.381173211,0.565135652,0.118894807,0.273816884,1.348340443,-0.459127939,0.117597368,1.108196775,-0.527922324,2.561810418,-0.589796029,1.088455227,0.026749525,1.370092871,2.718628984,-0.337948314,1.334709805,2.898018779,0.506895379,0.749724235,-0.255818301,-0.340871316,0.079276249,2.353970278,0.494830097,0.079757897,2.289528787,-0.289006858,0.268181603,-0.493638018,1.219099235,1.229060318,0.228286097,1.470116107,-0.311740643,2.648907426,-0.239574722,-0.136429804,-0.778144477,-0.417399161,0.690731387,-0.270273761,-0.515002117,1.955454728,1.195308835,1.245306907,2.748509221,1.373762426,1.441012527,2.621026028,-0.328119685,2.332070346,-0.114361295,2.356059426,1.273359892,3.552503144,0.029549104,0.211609035,0.617280068,-0.738694496,-0.181340469,-0.321752901,1.735495121,0.722529185,0.025557447,1.073382656,0.732661855,-0.02238158,2.764698614,1.766016552,1.289182029,2.210505402,-0.273883111,2.613244403,-0.491028088,1.754150375
csf,1,3.393035514,1.981758729,3.300811964,2.083819939,0.315684136,0.570542151,0.862258278,1.49864773,2.036251179,2.053099828,2.743707792,1.663717529,1.278793483,1.479712944,2.65496716,1.014663745,1.341732835,0.200567255,3.091280036,1.655141184,0.495034797,1.710624022,0.567086326,2.213061147,2.996392371,1.453712983,1.39978948,2.64111978,1.565389091,1.530177612,1.978561791,0.949936275,0.736087576,3.13969469,0.436767431,1.386453851,0.931347673,2.548146666,2.536153631,3.058296179,0.227852614,0.45040108,3.114670066,0.074553089,2.359187128,1.456301841,2.172199335,1.099171895,0.39330171,1.842493222,2.887422523,1.996596498,1.859483355,2.1632166,2.133574177,1.414831949,1.054529147,1.961424153,0.822146031,1.838101195,1.615733347,1.960334424,0.175067004,2.166795847,0.225983218,0.267775212,1.061904382,0.584013243,1.443553221,1.507049478,0.418774868,2.073344095,3.253062586,1.570922022,-0.226519051,0.991303817,1.148679288,0.752448557,2.363419609,2.137309959,1.609604377,0.658930578,0.880919128,2.541915345,0.178266953,1.882292398,1.707342796,2.300660876,2.022906519,0.653506018,3.045493373,3.201905549,3.42622106,2.686271269,1.50135098,0.89167794,-0.10116113,2.472771765,0.314612469,-0.164491821,2.629355528,1.093241604,1.938642203,3.311158365,-0.347144781,3.948739896,-0.241395954,1.2390214,0.084481058,0.73602135,-0.232714248,0.775636897,1.405060515,-0.610687511,0.215919785,1.269320069,-0.651552333,2.805533333,-0.573510307,1.171867629,-0.185434477,1.259063977,2.530175175,-0.541847972,1.597810021,2.711024966,0.493830677,0.034055523,1.048665083,-0.329910813,0.390417843,1.681273598,0.561893559,1.202951986,2.97249661,-0.401236861,0.373725729,-0.584163758,0.919655668,1.267303168,0.179064683,2.208786521,-0.456683576,2.693080568,-0.19840285,-0.213111175,-0.940294284,-0.695445517,0.98501229,-0.432736639,-0.386633896,2.344698554,0.870753345,1.390611075,2.875667301,1.125090578,1.644704474,2.67584359,-0.424491428,2.183346476,-0.140252885,2.415359325,0.668458177,3.500157038,-0.217719944,-0.194561707,1.156780006,-0.636395473,0.043068361,-0.427164574,1.452563048,0.294666222,-0.010578194,0.637729036,0.740217708,-0.203992977,2.793245289,2.508148811,1.201410713,1.894451,-0.378533178,2.382760786,-0.584859137,1.810680613
csf,1,2.719164817,1.895444399,3.254341964,1.945373234,0.110357596,0.809105412,0.771566972,1.195052959,1.390620106,2.031889254,2.552249705,1.645445008,1.310115654,1.453420984,2.551515192,1.098554784,1.126553584,-0.048330366,2.91930762,1.53175802,1.246866242,1.666803086,0.508132612,2.307337721,2.803838534,1.513991229,1.021725908,2.338930819,1.353388716,1.405093628,1.87639221,0.727478118,0.642566588,2.687725244,0.215919785,1.938058205,0.640727294,2.671602078,2.515289242,2.907031617,0.121083295,0.31362208,3.181525818,-0.027107751,2.3730616,1.635806027,1.966333952,0.962251412,0.31903761,1.5975993,2.921324521,1.952567851,1.926992342,2.050056415,1.693910837,1.860624259,1.111797093,1.464830021,0.914896383,1.676460128,1.711265216,1.863499095,0.098039449,1.979889333,0.167872387,0.088159645,1.171753238,0.193399731,1.314080219,1.134615167,0.227045854,1.960855206,3.256226412,1.466283996,-0.23905394,0.826026308,0.919568369,0.56872694,2.306103498,1.867752649,1.383750602,0.343764214,0.58518425,2.099660137,0.113780307,1.829804808,1.308210135,2.009519715,2.023123261,0.35406546,3.071538489,2.823712534,2.362402128,2.61753408,1.519099708,0.019398373,-0.330813903,2.45455042,-0.087963975,-0.279154146,2.108323781,0.685427238,1.4898125,1.867553969,-0.255330632,3.505521392,-0.721897022,1.568032134,0.248238365,0.173302969,-0.313004969,0.518924537,1.442367162,-0.515282074,-0.024235925,0.434467562,-0.597207388,2.150603444,-0.631843899,0.224661696,-0.425322271,1.171283631,2.387465885,-0.510345183,1.294748073,2.089566602,0.559988039,0.028230593,-0.20532955,-0.342834031,0.352713836,1.744848123,0.217897552,0.504863426,2.956635339,-0.241817396,0.373325359,-0.271926416,0.894254757,1.367001293,0.193718823,1.149507121,-0.595473455,2.123513754,-0.463522977,-0.235092385,-0.831580312,-0.487364553,1.128386856,-0.614065068,-0.453673276,1.721563453,0.708236281,0.801919826,2.50492779,1.012044784,1.953350529,2.749481548,-0.365775527,2.251906058,-0.145954393,2.356772867,0.846406039,3.416043236,-0.122696816,-0.160734966,1.189471863,-0.576306875,-0.300810244,-0.409653659,0.993465212,0.830990293,0.161418304,0.501835065,0.488264632,-0.044317636,2.455390294,2.317070021,0.988037641,2.04148308,-0.455551703,2.325330284,-0.610308213,1.751930783
csf,1,1.412143751,1.603761384,0.176286176,1.346594469,-0.15695704,0.0513798,-0.027748945,1.047674694,1.248759721,2.222862684,2.052166635,1.3845393,0.921678589,0.449458856,2.181025535,0.688576012,1.061735805,-0.107253977,2.120250589,1.146406512,0.607017955,1.01873367,0.262314528,2.228609346,2.4547491,1.394503393,0.613553317,1.975054791,1.194625497,0.950761097,1.32593177,1.126430161,-0.319793195,1.948783904,-0.036180795,1.995898108,1.022198525,2.551575398,2.360370175,2.615742952,0.03512418,0.147598017,3.115874186,-0.071599984,2.307969884,0.665441857,1.529033698,0.192108312,0.27307033,1.473568921,2.535554581,1.547405559,1.670584023,0.334516572,0.187093153,0.925248805,0.370272915,0.875313949,0.143937492,1.159955872,1.071711939,1.69885375,-0.144626851,1.590952558,-0.070477143,0.074483852,0.654186345,0.076711474,1.063180749,1.122224772,0.021252718,1.923524477,2.847990604,1.466949272,-0.313471565,0.477168667,0.512608928,1.306921726,1.743201489,1.486907561,0.586912162,-0.048309294,0.262543311,2.15368298,-0.340708759,1.263170027,1.598607751,1.791315113,1.908852275,0.226025362,2.922059034,2.719628403,2.193196178,2.131123793,-0.246122124,0.033733421,-0.56882628,2.278243172,-0.078671179,-0.346828699,1.719061893,0.854467622,1.767651145,1.715163555,-0.494441768,3.051821024,-0.642115043,0.616443205,-0.318119469,0.523572441,-0.334582799,0.041810056,1.235493329,-0.611813363,-0.074525996,0.967718117,-0.726620183,1.63142002,-0.8217276,0.254936283,-0.367566656,0.670676769,3.303870429,-0.534493809,1.078719917,2.323740846,-0.196975967,0.620362615,-0.508427621,-0.406836019,-0.330756708,1.739396469,-0.215552528,0.006986906,1.938157545,-0.451993528,0.023624834,-0.606725956,0.719217855,0.852008207,0.159259919,0.485672764,-0.520848119,1.84397128,-0.749242587,-0.114325172,-0.842366216,-0.798292415,0.953265667,-0.632807195,-0.70400982,1.933199581,0.344835881,0.654351912,2.333196198,0.747240738,0.862839266,-0.033140392,-0.46305036,1.056717635,-0.183887183,2.021768626,1.002137886,3.350807026,-0.196388959,-0.298209345,0.375348281,-0.554099892,-0.333119793,-0.36670872,0.917810354,0.740922118,-0.543904006,0.302652547,0.066684165,-0.215287622,2.13922451,1.472975892,0.287941211,0.755615392,-0.660727727,2.181413864,-0.537356604,1.658568941
csf,1,3.196643545,1.981307184,3.065514878,1.935535573,0.002390178,0.655008157,0.572757732,1.474195064,1.344950846,1.917157692,2.271262286,1.558947049,1.329878274,1.293176697,2.492943785,0.912003485,1.508699122,-0.003103619,2.982987505,1.817330125,1.086633996,1.767563846,0.496558009,2.211950346,3.084244965,1.362013226,0.95399717,2.468551325,1.426009192,1.357708497,1.680156777,2.209831095,0.47800553,2.509581713,0.119508908,1.506336037,1.265623421,2.597970141,2.412529643,2.925514858,0.140234823,0.195961496,3.05288968,-0.204607078,2.49619792,1.431132723,2.304812079,0.891867589,0.258407159,2.122779241,2.769581321,1.993381497,2.12568418,0.79292806,1.710467487,1.37871437,0.943033657,1.897404104,0.321605396,1.574371826,1.719170264,1.878050885,-0.038062233,1.973402137,-0.145836992,0.018170171,1.147646755,0.368286117,1.528389494,1.383302067,0.419434124,2.121984522,3.161149098,1.540722693,-0.231251243,1.11818796,0.973389522,0.742571762,2.151319895,2.142111387,1.264286848,0.347656532,0.580927686,2.227856771,1.231296971,1.787296362,1.47716623,2.320152568,1.924734617,0.696806172,2.905297684,3.090569605,2.62556556,2.643236021,2.071823894,0.976589471,-0.19930895,2.517306143,0.626928079,-0.133166639,2.545386221,1.15221037,2.425091624,1.845054988,-0.444714623,3.645313702,-0.698202951,2.109801838,0.583308833,1.280446138,-0.043300155,0.807648427,1.438288206,-0.416189021,0.516299556,2.021663265,-0.566276556,2.765803394,-0.708278425,0.846580636,0.065570354,1.34188937,2.435648746,-0.48332473,1.333042099,3.330011874,1.020594035,1.652937644,-0.475236054,-0.293760121,0.297706625,3.001425592,0.693979501,0.104860789,2.50624028,-0.31893526,0.430963573,-0.384054068,1.522561553,1.552276224,0.233487896,2.055550212,-0.119903258,2.665485148,-0.39410245,-0.240089483,-0.936269513,-0.570506027,0.954653415,-0.331912663,-0.344420459,2.133062426,1.211227301,1.441123909,2.992241167,2.063644909,1.845864758,2.544979831,-0.362963907,2.297515112,-0.178197716,2.402710044,2.084485215,3.479572607,0.030160195,0.339531732,0.847414489,-0.545677073,-0.277811552,-0.335820032,1.326500717,1.116541326,-0.062608218,0.894203582,0.63074514,-0.081103501,2.733818957,1.56086762,1.558643009,2.236038767,-0.400791336,2.850239298,-0.384981241,1.816384347
csf,1,2.972225683,2.118041029,2.834880747,1.935243574,-0.172902599,0.872460185,0.495549558,1.158471794,1.541002651,1.979275232,2.341600955,1.582496625,1.28106325,1.424609403,2.594842439,1.014278426,1.311087981,0.175476405,3.013003206,1.802134131,2.125151357,1.981475761,0.59391412,2.219003479,3.09955234,1.395858028,1.013905149,2.458755809,1.824548824,1.410093737,1.791555937,1.840115085,0.672783979,3.326402524,0.440129936,1.475290813,0.880988365,2.705070593,2.48616459,3.073895554,0.827504365,0.230405348,3.047146028,-0.050058278,2.476040951,1.529593614,2.340818277,0.930269985,0.286562494,2.157072578,2.915746435,1.939810199,2.744391131,1.095701019,1.766720962,1.33154899,1.103265903,2.010314435,0.636904213,1.9256648,1.79911179,2.124555318,0.121802757,2.269100891,-0.024850026,0.124834129,1.188863782,0.388217313,1.601449474,1.170922395,0.354315315,1.979741828,3.147759284,1.571331423,0.481810549,1.313628674,0.944454519,0.901876836,2.260416176,2.245987808,1.498789215,0.70671909,0.897060356,2.279287746,0.748785022,1.859901787,2.015365718,2.378450037,1.97564481,0.553329256,2.995666889,3.425793598,2.710434947,2.533239661,2.491122554,1.44425462,-0.386200412,2.470044434,0.599904617,-0.377223698,2.628196563,1.015560814,2.071363318,2.252393726,-0.341973085,3.35526528,-0.536035082,1.613177603,0.351283943,0.76532963,-0.354038368,1.34288879,2.35660128,-0.437408625,0.667633355,1.610182354,-0.646440844,2.219135932,-0.813181358,0.917319675,0.315654033,1.36446361,2.86671768,-0.494035377,1.480631085,3.046041248,0.461798075,0.913063111,0.0849025,-0.404310377,0.201292738,2.938091892,0.574425438,0.678976166,2.723475566,-0.276324464,0.52657371,-0.569536711,1.533037397,1.531631587,0.184401944,1.76579379,0.035066984,2.59304529,-0.110222133,-0.089941742,-0.975030135,-0.453164535,1.268817349,-0.377298955,-0.148675705,2.001048731,1.584585774,1.20238304,2.939088301,1.477003674,2.101379019,2.58050438,-0.435602445,2.301166606,-0.232389136,2.382712622,1.323634912,3.57103756,-0.216834916,0.426336742,0.830385222,-0.626292906,0.014259791,-0.45291468,1.463592787,0.876536131,0.15866689,0.965120228,0.800068492,-0.111104151,2.798206263,1.967601289,1.040585438,2.081035412,-0.592860515,2.806698319,-0.434440469,1.829456171
csf,1,3.394649035,2.060604506,3.129896164,2.083281095,0.075001623,0.895564237,1.216474254,1.442927078,1.681619782,1.943133571,2.557665235,1.524566413,1.627876897,1.720356322,2.586356403,1.112131237,1.479547377,-0.059047034,3.073769121,1.705073029,0.780275769,1.916188376,0.640161358,2.171991625,3.040577554,1.387835579,1.600338673,2.754490687,1.498789215,1.835506316,2.025447213,1.15562405,0.840936324,2.829663897,0.373755832,1.379183977,1.061407682,2.808302809,2.511309626,3.282388929,0.135276859,0.373954512,3.092469104,-0.055251045,2.485827436,1.817387321,2.446919309,1.340868879,0.317210358,2.04559816,3.010065153,2.108209389,2.133339373,0.956781697,2.243323692,1.719188326,1.315341535,1.988565017,0.817058625,1.801857183,1.86876411,1.947107166,0.320527708,2.463208043,0.094652862,0.077241287,1.448538277,0.415698342,1.585573152,1.316404171,0.669021104,2.176901424,3.154556541,1.592629295,-0.089267435,1.421722525,1.158577155,1.005506412,2.391713419,2.25915486,1.541580628,0.643045225,0.843624522,2.622720827,0.135933105,1.99059998,2.486206734,2.359449024,2.060700835,0.703440873,3.015056231,3.259691267,2.341095225,2.758963993,1.955427636,0.70982873,-0.265460291,2.408733655,0.238819137,-0.213201484,2.636113651,1.182442813,2.028981305,1.192027608,-0.584299222,3.495199074,-0.565496888,1.598424122,0.246724184,0.692474351,-0.064950232,0.876867264,1.463848663,-0.605413465,0.465277982,0.765158043,-0.63195528,1.696665262,-0.566228391,0.847875065,-0.105682601,1.450910394,2.631664428,-0.449877287,1.245219608,3.267569222,0.900976756,0.575918547,1.109328647,-0.395270446,0.555313043,2.195742891,0.73000677,0.253530473,3.028975858,-0.338222252,0.5998414,-0.608502033,0.860623686,1.321136363,0.200103669,1.473680303,-0.094252492,2.442972806,-0.271240067,-0.307453976,-0.945444907,-0.550854789,1.557989773,-0.455789516,-0.4550249,2.122119985,1.136123327,1.420422076,2.878807044,1.174676239,2.280988566,2.558974715,-0.444961467,2.285431768,-0.183014196,2.467058216,0.771323137,3.598407208,-0.034591357,0.294898015,0.89047382,-0.707914179,-0.410430317,-0.423203019,1.520746342,0.544930519,-0.115824301,0.818446373,0.45301101,0.016929927,2.733195825,2.017912432,0.683849841,2.077281567,-0.467144368,2.611344903,-0.395788218,1.834787279
csf,1,3.530672448,2.122348768,2.812372734,1.76911114,0.44127084,0.730816541,0.517720417,1.553558612,1.699994653,1.93400032,2.893659864,1.596708252,1.517103879,1.416282913,2.538634118,1.214607868,1.700039808,0.304615263,3.335623073,2.079671746,1.58785797,2.118423337,0.701866486,2.190845133,3.298208055,1.470968022,1.277772992,2.461145987,1.802356893,1.584700165,1.792272388,1.758189772,0.840590139,3.223471338,0.336915781,2.076396539,1.545418761,2.736468021,2.518112903,3.393113782,0.74184628,0.340178947,2.997175049,0.026972288,2.681487903,1.72263813,2.612052324,0.966821047,0.35486319,2.275253944,3.020839017,2.253266713,2.700579225,1.565816553,1.930571589,1.81266115,0.993134079,2.258847809,0.65162157,1.837038559,1.972857272,2.150787072,0.494369521,2.629147817,0.244177471,0.452532372,1.197512374,0.586325153,1.844434866,1.321058095,0.577140728,2.270353176,3.145676156,1.500917497,0.168847725,1.710747445,1.416379243,0.861635146,2.251520739,2.358922221,1.310889302,0.901464425,0.894956157,2.495252686,0.59090683,2.225147501,1.606774695,2.40086473,1.885215399,0.704292788,3.021988951,3.363949996,3.091039212,2.52530451,2.045604181,0.845641423,0.191972849,2.681135698,0.632933628,-0.229177146,2.757040411,1.235469246,1.979877292,2.858418283,-0.142065086,3.449168577,-0.423967636,1.643611735,1.165332268,0.830331037,-0.163709143,0.977010913,1.415834379,-0.409602484,0.637166109,1.442713347,-0.483162174,2.481700315,-0.662991473,0.748089642,0.30619266,1.758563049,3.149475155,-0.3146215,1.575295988,2.585808529,0.956703429,0.924357756,0.84602072,-0.271920395,0.151279614,3.160613264,0.617894169,0.660209956,2.43588054,-0.111239614,0.688491724,-0.055470797,1.679422263,1.783644869,0.223620132,2.251288946,0.077340626,2.781709819,-0.025903631,-0.08018536,-0.858790413,-0.538380106,1.465010639,-0.313748513,-0.48733445,2.239970218,1.63272047,1.468981224,3.213997924,1.325468184,1.515213411,2.619662362,-0.304437655,2.319719085,-0.08771412,2.436130394,1.573101479,3.681690166,0.212641568,-0.162119704,0.915727226,-0.610940376,0.99815526,-0.364628603,1.190937879,0.912331608,0.502975968,1.107883703,1.328644051,0.154094244,3.070084514,2.469255735,1.135241309,2.213876938,-0.351262871,2.829510372,-0.482358424,1.898205969
csf,1,3.07346207,2.138014369,2.729980825,2.061685203,0.062954403,1.107113067,1.092781028,1.444778413,1.490550024,2.005820057,2.681117636,1.438556123,1.134004076,1.735176029,2.581618191,1.171650887,1.408263474,0.853380904,3.088468416,1.647552218,0.498812723,1.722069183,0.586117443,2.199568983,3.19920531,1.323749303,1.429754006,2.781077656,1.795532543,1.780155931,2.127165248,2.262700993,0.905368784,2.967060008,0.334805561,1.264133323,0.893547336,2.612272076,2.532071664,3.046294113,0.082936774,0.361272118,3.068371653,-0.012107426,2.299351395,1.493701808,2.263790722,0.83808557,0.297899284,2.593996545,3.004881417,1.993137663,2.468584438,0.68484324,2.146509436,1.340968219,1.487789578,1.933633064,0.846243483,1.954885782,1.728288463,1.98196343,-0.145289117,2.371071792,0.163149227,1.176927943,1.535024195,0.032285467,1.514168837,1.29351084,0.418603281,1.923271611,3.178506487,1.489099059,-0.028059006,1.046253832,1.094231993,1.79268781,2.396120498,1.85892645,1.518678266,0.752671319,1.018763773,2.448219759,0.518798105,2.135485717,1.944142021,2.347016485,1.946812157,0.697034955,3.030580347,3.324993704,2.687755347,3.146549143,2.131027463,0.243596483,-0.325970331,2.071023154,0.333481029,-0.364444975,2.706521557,1.112384102,1.849067717,2.033054241,-0.510284977,3.448271508,-0.788256075,2.018351936,0.323282133,1.113248058,-0.345868414,1.848568008,1.611940369,-0.73592502,0.27216724,0.965096145,-0.682305557,2.091995914,-0.758691919,0.880383294,0.250369658,1.100911849,2.958215747,-0.540141132,1.199318554,2.612530962,0.245797012,0.575972732,1.275331638,-0.43816722,0.537163945,2.728493736,0.438034767,0.323459741,2.743801112,-0.31451915,0.551134747,-0.818193508,1.406388057,1.319215791,0.168068057,1.335086093,-0.180470493,2.506041601,-0.146661814,-0.258440272,-0.869970667,-0.794665003,1.077058232,-0.276760957,-0.209309166,1.987171249,1.453451087,1.142601493,2.820729327,1.58264112,1.993550074,2.695365385,-0.440590512,2.182605942,-0.236964792,2.469586868,0.790760644,3.443406863,-0.29143617,0.438543508,0.975933225,-0.664887962,0.100534988,-0.588745435,1.064628703,0.93834963,-0.102883022,0.499423814,1.71000089,-0.22942098,2.790517957,1.513717292,1.396231305,2.003300436,-0.605687403,2.434206813,-0.224794149,1.773001755
csf,1,3.495870371,2.202567241,2.777489379,1.775748852,1.012108,0.810011512,0.418338375,1.43511836,1.49653751,1.902964128,2.629096642,1.587105395,1.454146466,1.32562171,2.573020775,1.204255446,1.671339608,0.113786328,3.1281532,1.877060497,0.792735401,1.982417985,0.603896274,2.206634157,3.238519827,1.165025217,1.373720282,2.569191673,1.519626511,1.63783497,1.748791616,2.179186242,0.585274559,2.144661111,0.364038584,1.548383906,1.356203347,2.77058074,2.366450981,3.08118951,0.538169385,0.227352904,2.892338343,-0.034871315,2.601043657,1.480489601,2.441109431,0.564572726,0.307140905,2.713487391,2.917895789,2.030808557,2.996323134,-0.039666723,1.649111553,1.907584938,1.078575423,1.75515539,0.434858901,1.994690978,1.875474069,2.232531767,-0.092241611,2.529753733,0.020740967,0.097151411,1.531306475,0.196533453,1.721449061,1.364349218,0.361242015,2.178301213,3.096520968,1.466106388,-0.096124898,1.621194031,1.053746469,0.962067784,2.313629248,2.152695602,1.474231187,0.662530897,1.213334511,2.330228042,0.799084123,2.059508757,1.994257495,2.441214791,1.916971054,0.493448369,2.982505857,3.259962194,2.30271089,2.477148742,1.875549326,0.750765799,0.419373918,2.323069549,0.646522122,-0.242244858,2.410422433,1.100270655,1.994224381,1.123540273,-0.538437302,3.047612625,-0.686658451,1.401159166,0.665842227,0.95118856,-0.444696561,0.855996854,1.512142905,-0.450687058,0.65985474,0.690571841,-0.6641685,1.739122532,-0.553389462,0.840674428,0.253238474,1.539494491,2.743767998,-0.386293732,1.217705466,2.755905528,0.841734053,0.921780939,0.757361366,-0.336142134,0.186536247,2.739135147,0.469636896,0.7953363,1.856614539,-0.255159045,0.290298276,-0.244312934,1.261475228,1.535394462,0.206982204,1.849245325,-0.035717209,2.478991045,-0.277959057,-0.261552922,-0.855674752,-0.652813649,0.992294206,-0.43946767,-0.61830056,1.966355024,1.501871762,1.280358839,2.900514317,1.054950589,1.496868643,2.488491552,-0.390640605,2.123089302,-0.239427217,2.32027298,0.837676169,3.55256335,0.717008295,0.422321002,0.983877407,-0.633878862,-0.162637476,-0.377985304,1.316443305,1.014904569,-0.17462449,0.922437185,0.535734052,0.178306087,2.921246253,1.243019079,1.511950246,2.193849413,-0.485353672,2.679338549,-0.392112641,1.823491013
